 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
110   1.00e+00    6.60e-11   1.00e+00  -1.32e-10  -6.64e-11    12
111   1.00e+00    6.69e-11   1.00e+00  -1.34e-10  -6.73e-11    13
112   1.00e+00    6.78e-11   1.00e+00  -1.36e-10  -6.82e-11    12
113   1.00e+00    6.87e-11   1.00e+00  -1.38e-10  -6.91e-11    13
114   1.00e+00    6.96e-11   1.00e+00  -1.40e-10  -7.01e-11    12
115   1.00e+00    7.06e-11   1.00e+00  -1.42e-10  -7.10e-11    13
116   1.00e+00    7.15e-11   1.00e+00  -1.43e-10  -7.19e-11    12
117   1.00e+00    7.25e-11   1.00e+00  -1.45e-10  -7.29e-11    13
118   1.00e+00    7.34e-11   1.00e+00  -1.47e-10  -7.39e-11    12
119   1.00e+00    7.44e-11   1.00e+00  -1.49e-10  -7.49e-11    13
120   1.00e+00    7.54e-11   1.00e+00  -1.51e-10  -7.59e-11    12
121   1.00e+00    7.64e-11   1.00e+00  -1.53e-10  -7.69e-11    13
122   1.00e+00    7.74e-11   1.00e+00  -1.55e-10  -7.79e-11    12
123   1.00e+00    7.84e-11   1.00e+00  -1.57e-10  -7.89e-11    13
124   1.00e+00    7.95e-11   1.00e+00  -1.59e-10  -8.00e-11    12
125   1.00e+00    8.06e-11   1.00e+00  -1.62e-10  -8.10e-11    13
126   1.00e+00    8.16e-11   1.00e+00  -1.64e-10  -8.21e-11    12
127   1.00e+00    8.27e-11   1.00e+00  -1.66e-10  -8.32e-11    13
128   1.00e+00    8.38e-11   1.00e+00  -1.68e-10  -8.43e-11    12
129   1.00e+00    8.49e-11   1.00e+00  -1.70e-10  -8.55e-11    13
130   1.00e+00    8.61e-11   1.00e+00  -1.73e-10  -8.66e-11    12
131   1.00e+00    8.72e-11   1.00e+00  -1.75e-10  -8.77e-11    13
132   1.00e+00    8.84e-11   1.00e+00  -1.77e-10  -8.89e-11    12
133   1.00e+00    8.96e-11   1.00e+00  -1.80e-10  -9.01e-11    13
134   1.00e+00    9.07e-11   1.00e+00  -1.82e-10  -9.13e-11    12
135   1.00e+00    9.20e-11   1.00e+00  -1.84e-10  -9.25e-11    13
136   1.00e+00    9.32e-11   1.00e+00  -1.87e-10  -9.38e-11    12
137   1.00e+00    9.44e-11   1.00e+00  -1.89e-10  -9.50e-11    13
138   1.00e+00    9.57e-11   1.00e+00  -1.92e-10  -9.63e-11    12
139   1.00e+00    9.70e-11   1.00e+00  -1.95e-10  -9.75e-11    13
140   1.00e+00    9.82e-11   1.00e+00  -1.97e-10  -9.88e-11    12
141   1.00e+00    9.96e-11   1.00e+00  -2.00e-10  -1.00e-10    13
142   1.00e+00    1.01e-10   1.00e+00  -2.02e-10  -1.02e-10    12
143   1.00e+00    1.02e-10   1.00e+00  -2.05e-10  -1.03e-10    13
144   1.00e+00    1.04e-10   1.00e+00  -2.08e-10  -1.04e-10    12
145   1.00e+00    1.05e-10   1.00e+00  -2.11e-10  -1.06e-10    13
146   1.00e+00    1.06e-10   1.00e+00  -2.13e-10  -1.07e-10    12
147   1.00e+00    1.08e-10   1.00e+00  -2.16e-10  -1.08e-10    13
148   1.00e+00    1.09e-10   1.00e+00  -2.19e-10  -1.10e-10    12
149   1.00e+00    1.11e-10   1.00e+00  -2.22e-10  -1.11e-10    13
150   1.00e+00    1.12e-10   1.00e+00  -2.25e-10  -1.13e-10    12
151   1.00e+00    1.14e-10   1.00e+00  -2.28e-10  -1.14e-10    13
152   1.00e+00    1.15e-10   1.00e+00  -2.31e-10  -1.16e-10    12
153   1.00e+00    1.17e-10   1.00e+00  -2.34e-10  -1.17e-10    13
154   1.00e+00    1.18e-10   1.00e+00  -2.37e-10  -1.19e-10    12
155   1.00e+00    1.20e-10   1.00e+00  -2.40e-10  -1.21e-10    13
156   1.00e+00    1.21e-10   1.00e+00  -2.44e-10  -1.22e-10    12
157   1.00e+00    1.23e-10   1.00e+00  -2.47e-10  -1.24e-10    13
